InstructorName0;0;0;0;2020.01.1.;1;1;1;1;0;1;1;1;1;1;2020.01.2.;1;1;1;0;1;1;1;1;1;1;2020.01.3.;0;1;1;1;0;1;1;0;1;1;2020.01.4.;1;1;1;0;1;1;0;0;1;0;2020.01.5.;1;1;1;1;1;1;1;1;0;0;2020.01.6.;1;1;1;1;1;1;1;1;1;0;2020.01.7.;1;1;1;1;1;1;0;1;1;1;2020.01.8.;1;1;1;0;1;1;1;1;1;1;2020.01.9.;0;1;1;1;1;1;0;1;1;1;2020.01.10.;1;1;1;1;1;1;0;1;1;1;2020.01.11.;1;1;0;1;1;1;1;1;0;0
InstructorName1;0;0;0;2020.01.1.;1;0;1;1;1;1;1;1;1;1;2020.01.2.;1;0;1;1;0;1;1;1;1;1;2020.01.3.;0;1;0;1;1;1;0;1;1;1;2020.01.4.;1;1;1;0;1;1;1;0;1;0;2020.01.5.;1;1;1;1;1;1;1;1;0;1;2020.01.6.;0;1;0;1;1;1;1;1;1;1;2020.01.7.;1;1;1;1;1;1;1;0;1;1;2020.01.8.;1;0;1;1;1;1;1;0;1;1;2020.01.9.;1;0;1;0;1;0;1;1;1;1;2020.01.10.;1;1;1;0;0;1;1;1;0;1;2020.01.11.;1;1;1;1;1;1;1;1;1;1
InstructorName2;0;0;1;2020.01.1.;1;1;1;1;1;1;1;1;1;1;2020.01.2.;1;1;1;1;1;1;1;1;1;1;2020.01.3.;1;1;1;1;1;1;1;1;1;1;2020.01.4.;1;1;1;1;1;1;1;1;1;1;2020.01.5.;0;1;1;1;1;1;1;1;1;1;2020.01.6.;1;1;1;1;0;0;1;1;1;1;2020.01.7.;0;1;1;1;1;1;1;1;1;1;2020.01.8.;1;1;1;1;1;0;1;0;1;0;2020.01.9.;1;1;1;1;1;1;1;1;1;1;2020.01.10.;0;1;1;1;0;1;1;1;0;1;2020.01.11.;1;1;1;1;1;1;0;0;1;1
InstructorName3;0;1;0;2020.01.1.;1;1;1;1;1;0;0;0;1;0;2020.01.2.;1;1;1;1;1;1;1;1;1;1;2020.01.3.;1;1;1;1;1;1;1;1;1;1;2020.01.4.;1;1;1;1;1;1;1;1;1;1;2020.01.5.;1;1;0;1;0;0;1;1;1;1;2020.01.6.;1;1;1;1;1;1;1;0;1;0;2020.01.7.;1;1;1;1;1;1;1;1;1;1;2020.01.8.;0;1;0;1;1;0;0;0;1;1;2020.01.9.;1;1;1;1;1;1;1;1;1;1;2020.01.10.;1;1;1;1;0;1;1;1;1;1;2020.01.11.;1;0;1;1;1;1;1;1;0;0
InstructorName4;0;1;0;2020.01.1.;1;0;1;1;1;1;1;1;1;1;2020.01.2.;1;0;1;1;1;0;1;1;1;1;2020.01.3.;1;1;1;1;1;0;1;1;1;1;2020.01.4.;1;1;1;1;1;1;1;0;1;1;2020.01.5.;1;1;0;1;1;0;1;1;1;0;2020.01.6.;0;0;1;1;1;1;1;0;1;1;2020.01.7.;0;1;0;0;1;1;0;1;1;1;2020.01.8.;1;1;1;1;1;1;1;1;0;1;2020.01.9.;1;1;1;1;1;1;1;0;1;1;2020.01.10.;1;0;1;1;1;1;1;1;0;1;2020.01.11.;1;1;1;1;1;1;1;1;1;0
InstructorName5;0;0;0;2020.01.1.;1;0;0;0;1;1;0;1;1;1;2020.01.2.;1;1;1;1;1;1;1;1;1;0;2020.01.3.;1;1;1;1;1;1;0;1;1;1;2020.01.4.;0;0;1;1;1;1;1;0;1;1;2020.01.5.;1;1;1;1;1;0;1;1;1;0;2020.01.6.;1;1;1;1;1;1;1;1;1;0;2020.01.7.;1;1;1;0;1;1;1;1;1;0;2020.01.8.;0;1;0;1;1;1;0;1;1;1;2020.01.9.;1;1;1;0;1;1;1;1;1;1;2020.01.10.;0;1;0;1;0;1;1;1;0;1;2020.01.11.;1;1;1;0;1;1;1;1;1;1
InstructorName6;0;1;0;2020.01.1.;1;1;1;1;1;1;1;0;1;1;2020.01.2.;1;0;1;1;0;1;1;1;1;1;2020.01.3.;1;1;1;1;1;1;1;1;1;1;2020.01.4.;1;1;1;1;1;0;1;1;1;1;2020.01.5.;1;1;1;1;1;1;1;1;1;1;2020.01.6.;0;1;1;0;1;1;1;1;1;1;2020.01.7.;1;1;1;1;1;1;1;1;1;1;2020.01.8.;0;1;0;0;0;0;1;0;1;1;2020.01.9.;1;0;1;1;0;1;1;1;1;1;2020.01.10.;1;1;1;1;1;0;1;1;1;1;2020.01.11.;1;1;0;0;1;1;0;0;1;1
InstructorName7;1;0;0;;2020.01.1.;1;1;1;1;1;1;0;1;1;1;2020.01.2.;1;1;0;1;1;1;1;1;1;0;2020.01.3.;1;1;1;1;1;1;1;1;1;1;2020.01.4.;1;0;1;1;1;1;0;1;1;1;2020.01.5.;1;1;1;1;1;1;1;1;0;0;2020.01.6.;0;1;0;1;1;1;1;1;1;1;2020.01.7.;1;1;0;0;1;1;1;1;1;1;2020.01.8.;0;1;1;1;1;1;1;1;0;1;2020.01.9.;1;1;1;0;1;1;1;1;1;0;2020.01.10.;1;1;1;1;1;1;1;1;1;1;2020.01.11.;1;1;1;1;1;1;1;1;1;1
InstructorName8;0;0;0;2020.01.1.;1;1;1;1;1;1;1;1;1;1;2020.01.2.;1;1;1;1;1;1;1;0;1;0;2020.01.3.;1;1;1;0;1;1;1;1;1;1;2020.01.4.;1;1;0;1;1;1;1;1;1;1;2020.01.5.;1;1;1;1;0;1;1;1;0;0;2020.01.6.;0;0;1;1;1;1;1;1;1;0;2020.01.7.;1;1;1;0;1;1;1;0;1;1;2020.01.8.;1;0;0;0;1;1;1;1;1;1;2020.01.9.;1;1;1;1;1;1;1;1;1;1;2020.01.10.;1;1;1;1;1;1;1;0;1;1;2020.01.11.;1;1;0;1;1;1;1;1;1;1
InstructorName9;0;0;0;2020.01.1.;1;1;1;1;1;1;1;1;1;1;2020.01.2.;1;1;1;1;1;1;1;1;1;1;2020.01.3.;0;0;1;1;1;1;1;1;1;0;2020.01.4.;0;1;1;1;1;1;0;1;1;1;2020.01.5.;1;1;1;1;1;1;1;1;1;1;2020.01.6.;1;1;1;1;1;1;1;1;1;1;2020.01.7.;1;1;0;1;0;1;0;0;1;1;2020.01.8.;1;1;1;1;1;1;1;0;1;1;2020.01.9.;1;1;1;0;1;1;1;1;1;0;2020.01.10.;1;1;1;1;1;1;1;1;1;1;2020.01.11.;1;0;1;1;1;1;0;1;1;0
