CourseID0;CourseName0;InstructorName55;InstructorName43;InstructorName1;InstructorName28
CourseID1;CourseName1;InstructorName16
CourseID2;CourseName2;InstructorName16
CourseID3;CourseName3;InstructorName14
CourseID4;CourseName4;InstructorName60
CourseID5;CourseName5;InstructorName31;InstructorName19;InstructorName45
CourseID6;CourseName6;InstructorName36;InstructorName59
CourseID7;CourseName7;InstructorName42
CourseID8;CourseName8;InstructorName63
CourseID9;CourseName9;InstructorName48
CourseID10;CourseName10;InstructorName1
CourseID11;CourseName11;InstructorName8;InstructorName34;InstructorName59;InstructorName61
CourseID12;CourseName12;InstructorName36
CourseID13;CourseName13;InstructorName53
